"""table_name"",""column_name"""
"bom,""links"""
"bom,""availableforallassemblies"""
"bom,""availableforalllocations"""
"bom,""availableforlocations"""
"bom,""availableforsubisidiaries"""
"bom,""bomrevision"""
"bom,""createddate"""
"bom,""custrecord_aradh1"""
"bom,""custrecord_aradh1b"""
"bom,""custrecord_aranchopadre"""
"bom,""custrecord_arcaradeimpresion"""
"bom,""custrecord_arimpresion"""
"bom,""custrecord_arprovci"""
"bom,""custrecord_arprovresp"""
"bom,""custrecord_arrespaldo"""
"bom,""custrecord_arsil1"""
"bom,""custrecord_nombre_codigoparamostrar"""
"bom,""id"""
"bom,""includechildren"""
"bom,""isinactive"""
"bom,""lastmodifieddate"""
"bom,""memo"""
"bom,""name"""
"bom,""subsidiary"""
"bom,""usecomponentyield"""
"bom,""usedonassembly"""
"bom,""externalid"""
"bom,""custrecord_ar_cod_anterior_bom"""
"bom,""custrecord_ar_comp1"""
"bom,""custrecord_ar_comp2"""
"bom,""custrecord_ar_comp3"""
"bom,""custrecord_ar_comp4"""
"bom,""custrecord_arnota"""
"bom,""custrecord_bom_nota"""
"bom,""custrecord_ar_comp5"""
"bom,""custrecord_ar_comp6"""
"bom,""custrecord_ar_comp7"""
"bom,""custrecord_arrecubrimiento"""
"bom,""custrecord_arsil2"""
"bom,""custrecord_aradh2"""
"bom,""custrecord_aradh2b"""
"bom,""custrecord_arcomponenteinterno"""
"custinvc,""links"""
"custinvc,""createddate"""
"custinvc,""currency"""
"custinvc,""entity"""
"custinvc,""id"""
"custinvc,""lastmodifieddate"""
"custinvc,""status"""
"custinvc,""trandate"""
"custinvc,""tranid"""
"custinvc,""memo"""
"custinvc,""source"""
"custinvc,""abbrevtype"""
"custinvc,""autocalculatelag"""
"custinvc,""billingaddress"""
"custinvc,""billingstatus"""
"custinvc,""closedate"""
"custinvc,""createdby"""
"custinvc,""daysopen"""
"custinvc,""daysoverduesearch"""
"custinvc,""duedate"""
"custinvc,""email"""
"custinvc,""employee"""
"custinvc,""estgrossprofit"""
"custinvc,""estgrossprofitpercent"""
"custinvc,""exchangerate"""
"custinvc,""foreignamountpaid"""
"custinvc,""foreignamountunpaid"""
"custinvc,""foreigntotal"""
"custinvc,""isbookspecific"""
"custinvc,""isfinchrg"""
"custinvc,""isreversal"""
"custinvc,""iswip"""
"custinvc,""lastmodifiedby"""
"custinvc,""linkedtrackingnumberlist"""
"custinvc,""nexus"""
"custinvc,""number"""
"custinvc,""ordpicked"""
"custinvc,""otherrefnum"""
"custinvc,""outsourced"""
"custinvc,""paymenthold"""
"custinvc,""posting"""
"custinvc,""postingperiod"""
"custinvc,""printedpickingticket"""
"custinvc,""recordtype"""
"custinvc,""shipcomplete"""
"custinvc,""shipdate"""
"custinvc,""shippingaddress"""
"custinvc,""terms"""
"custinvc,""totalcostestimate"""
"custinvc,""trandisplayname"""
"custinvc,""transactionnumber"""
"custinvc,""type"""
