"links","addr1","addressee","addrphone","addrtext","city","country","custrecord_ar_posee_herram_descargue","custrecord_ar_posee_muelle_desc","custrecord_ar_req_aux_descargue","custrecord_bit_lt_city_sbrcd","custrecord_bit_lt_country_sbrcd","custrecord_bit_lt_states_depts_sbrcd","dropdownstate","lastmodifieddate","nkey","override","recordowner","state","zip","addr2","custrecord_ar_barrio_direccion","attention"
"[]","CL 79B 55 17","A T TECNOLOGÍA","+57 601 3902784","A T TECNOLOGÍA CL 79B 55 17 Bogotá D.C. Bogotá 110561 Colombia","Bogotá D.C.","CO","F","F","F","174","1","6","Bogotá","10/01/2025","20995","F","20995","Bogotá","110561","nan","nan","nan"
"[]","Cra 52 # 75-88","A T TECNOLOGÍA","+57 601 3902784","A T TECNOLOGÍA Cra 52 # 75-88 BOGOTÁ, D.C. Bogotá 110561 Colombia","BOGOTÁ, D.C.","CO","F","F","F","174","1","6","Bogotá","10/01/2025","65108","F","65108","Bogotá","110561","nan","nan","nan"
"[]","CL 10 B BIS SUR 16 92","ABC DATA CODIGOS - LUIS ALBERTO BARANDICA","+57 315 7820313","ABC DATA CODIGOS - LUIS ALBERTO BARANDICA CL 10 B BIS SUR 16 92 Bogotá D.C. Bogotá 110561 Colombia","Bogotá D.C.","CO","F","F","F","174","1","6","Bogotá","31/12/2024","20996","F","20996","Bogotá","110561","nan","nan","nan"
"[]","HORNOS GRAL 1304 CP1272","ACHERNAR S.A","+54 11 4301 3358","ACHERNAR S.A HORNOS GRAL 1304 CP1272 CUIT 30522405139 Buenos Aires  Argentina","Buenos Aires","AR","F","F","F","nan","2","nan","nan","30/01/2025","66013","F","66013","nan","nan","CUIT 30522405139","nan","nan"
"[]","Autopista Med-Bogotá Entrada Parque la Florida","ACOBARRAS","+57 601 2902135","ACOBARRAS Autopista Med-Bogotá Entrada Parque la Florida KM 1 Pq Industrial Rosalinda, Bod 37 COTA Cundinamarca 110561 Colombia","COTA","CO","F","F","F","431","1","16","Cundinamarca","03/01/2025","64347","F","64347","Cundinamarca","110561","KM 1 Pq Industrial Rosalinda, Bod 37","nan","nan"
"[]","Km.1 Bod.37 Parque Ind. Rosalinda","ACOBARRAS","(601) 290-2135","ACOBARRAS Km.1 Bod.37 Parque Ind. Rosalinda FLORIDA 110561 Colombia","nan","CO","F","F","F","nan","1","nan","nan","03/01/2025","64341","F","64341","nan","110561","FLORIDA","nan","nan"
"[]","AV CRISTO REDENTOR ESQUINA 3ERANILLO S/N","ACRICOLOR GRAFICA SRL","+59 169500770","ACRICOLOR GRAFICA SRL AV CRISTO REDENTOR ESQUINA 3ERANILLO S/N BARRIO MARABOL Santa Cruz de La Sierra  Bolivia","Santa Cruz de La Sierra","CO","F","F","F","nan","55","nan","nan","19/03/2025","66539","F","66539","nan","nan","BARRIO MARABOL","nan","nan"
"[]","AV CRISTO REDENTOR ESQUINA 3ERANILLO S/N","ACRICOLOR GRAFICA","+59 169500770","ACRICOLOR GRAFICA AV CRISTO REDENTOR ESQUINA 3ERANILLO S/N BARRIO MARABOL Santa Cruz Santa Cruz Bolivia","Santa Cruz","CO","F","F","F","nan","55","nan","Santa Cruz","24/02/2025","21296","F","21296","Santa Cruz","nan","BARRIO MARABOL","nan","nan"
"[]","W140 N9504 Fountain Blvd","ADDEV MATERIALS","nan","ADDEV MATERIALS W140 N9504 Fountain Blvd Menomonee Falls Wisconsin 53051 Estados Unidos","Menomonee Falls","CO","F","F","F","2179","7","175","Wisconsin","30/07/2025","70922","F","70922","Wisconsin","53051","nan","nan","nan"
"[]","CL 4G 60 20","ADH PAPELES ADHESIVOS SAS","nan","ADH PAPELES ADHESIVOS SAS CL 4G 60 20 Punto de Venta Galán BOGOTÁ, D.C. Bogotá 110501 Colombia","BOGOTÁ, D.C.","CO","F","F","F","174","1","6","Bogotá","06/03/2025","66801","F","66801","Bogotá","110501","Punto de Venta Galán","Galán","nan"
"[]","CL 41 16 35 / CENTRO","ADH PAPELES ADHESIVOS SAS","nan","ADH PAPELES ADHESIVOS SAS CL 41 16 35 / CENTRO JAVIER VALENCIA BUCARAMANGA Santander 50021 Colombia","BUCARAMANGA","CO","F","F","F","190","1","29","Santander","03/06/2025","69124","F","69124","Santander","50021","JAVIER VALENCIA","nan","JAVIER VALENCIA MORENO"
"[]","AV 11 11 124","ADH PAPELES ADHESIVOS","+57 316 4653402","ADH PAPELES ADHESIVOS AV 11 11 124 EL BOSQUE Tunja Boyacá 150001 Colombia","Tunja","CO","F","F","F","1830","1","8","Boyacá","31/12/2024","21007","F","21007","Boyacá","150001","EL BOSQUE","nan","nan"
"[]","AV 9 12 67","ADH PAPELES ADHESIVOS","+57 318 2096700","ADH PAPELES ADHESIVOS AV 9 12 67 Barrio el Llano Cúcuta Norte de Santander 540019 Colombia","Cúcuta","CO","F","F","F","444","1","24","Norte de Santander","31/12/2024","20998","F","20998","Norte de Santander","540019","Barrio el Llano","nan","nan"
"[]","CL 25 52 96","ADH PAPELES ADHESIVOS","+57 604 4444885","ADH PAPELES ADHESIVOS CL 25 52 96 FRENTE AL PARQUE CONFENALCO Medellín Antioquia 050021 Colombia","Medellín","CO","F","F","F","932","1","3","Antioquia","31/12/2024","20997","F","20997","Antioquia","050021","FRENTE AL PARQUE CONFENALCO","nan","nan"
"[]","CL 36 33 A 40","ADH PAPELES ADHESIVOS","+57 608 663 5461","ADH PAPELES ADHESIVOS CL 36 33 A 40 BARRIO BARZAL Villavicencio Meta 500001 Colombia","Villavicencio","CO","F","F","F","1907","1","22","Meta","31/12/2024","20999","F","20999","Meta","500001","BARRIO BARZAL","nan","nan"
"[]","CL 41 16 35","ADH PAPELES ADHESIVOS","+57 607 6914862","ADH PAPELES ADHESIVOS CL 41 16 35 CENTRO Bucaramanga Santander 680001 Colombia","Bucaramanga","CO","F","F","F","190","1","29","Santander","31/12/2024","21001","F","21001","Santander","680001","CENTRO","nan","nan"
"[]","CL 42 41 92 LC 1","ADH PAPELES ADHESIVOS","+57 605 318 73 67","ADH PAPELES ADHESIVOS CL 42 41 92 LC 1 Barranquilla Atlántico 080016 Colombia","Barranquilla","CO","F","F","F","152","1","5","Atlántico","31/12/2024","21008","F","21008","Atlántico","080016","nan","nan","nan"
"[]","CR 4 18 58","ADH PAPELES ADHESIVOS","+57 606 3440821","ADH PAPELES ADHESIVOS CR 4 18 58 Pereira RISARALDA 660002 Colombia","Pereira","CO","F","F","F","1232","1","27","RISARALDA","31/12/2024","21004","F","21004","RISARALDA","660002","nan","nan","nan"
"[]","CR 5 13 15","ADH PAPELES ADHESIVOS","+57 320 743 5735","ADH PAPELES ADHESIVOS CR 5 13 15 INTERLAKEN CENTRO Ibagué Tolima 730006 Colombia","Ibagué","CO","F","F","F","713","1","31","Tolima","31/12/2024","21003","F","21003","Tolima","730006","INTERLAKEN CENTRO","nan","nan"
"[]","400 SEAKS RUN ROAD,PA","Adhesives Research Inc","+1 7172357979","Adhesives Research Inc 400 SEAKS RUN ROAD,PA Glen Rock Pensilvania 17327 Estados Unidos","Glen Rock","CO","F","F","F","2118","7","166","Pensilvania","05/03/2025","66788","F","66788","Pensilvania","17327","nan","nan","Beth Lucabaugh"
